k,label_type,method,silhouette_kmeans,calinski_harabasz_kmeans,davies_bouldin_kmeans,ari_kmeans,nmi_kmeans,cluster_kmeans,silhouette_agglo,calinski_harabasz_agglo,davies_bouldin_agglo,ari_agglo,nmi_agglo,cluster_agglo
2,language,TEXT,0.03337902863529212,35.08140706683669,5.273391491806739,0.9486246079456564,0.9127763297235457,0.987,0.03228145107355041,33.888295192203756,5.36742751971924,0.8986025156325027,0.827056472583637,0.974
2,language,RAW,0.03274080199151341,37.82388744447972,5.039497327838991,0.0031038698116713104,0.0029801104613737845,0.532,0.033941878506289457,27.08433702072229,6.008652963658818,0.006409471025335366,0.005401379198764079,0.543
2,language,PCA,0.0951733839998334,114.05934551531399,2.8123036837958946,0.002607999307419271,0.0026212565030088618,0.53,0.07895284803231996,65.89154130172089,2.529995348916276,-9.359574368668587e-05,0.0007344833432269603,0.51
2,language,AE,0.11588924378156662,137.50696408536317,2.631602591487889,0.9408407818002373,0.8876865430233529,0.985,0.10365372896194458,121.98253347982754,2.7833914473775043,0.7601446575013567,0.6651132442432498,0.936
2,language,Beta-VAE (Beta=2),0.17428632080554962,253.41218575533327,1.8737636969990292,-0.000801439387705438,0.00014223103961560584,0.507,0.1643010675907135,231.17776244067363,1.928509854594615,0.0006320436090050783,0.0012073621379608585,0.52
2,language,Beta-VAE (Beta=4),0.23567412793636322,393.9496458455695,1.5090962349605537,0.006750153607152863,0.005596407678395854,0.544,0.19679704308509827,254.50746767205365,1.6652413470409335,-0.0005880884700002091,0.00019663213143343873,0.507
6,genre,TEXT,0.0031346042477567782,8.894968109685848,9.013596436119453,0.0015112751727221038,0.026901705746730207,0.5,0.009209641291003786,9.159693911054678,3.34451240286231,0.03633196674332883,0.07170108954388792,0.512
6,genre,RAW,0.004080749806371416,14.54974085040189,5.316521152047141,0.03290275959011527,0.050074329216261225,0.532,-0.01895270769652637,12.86312049167151,6.223719180142472,0.024110203946114694,0.06869540101171329,0.547
6,genre,PCA,0.04022302364732886,52.26272491586462,3.182158775472418,0.02743604765605192,0.04935731288012963,0.526,0.0064657421831935055,38.87319614330652,3.6677387687235234,0.028811870848022884,0.05732010733444368,0.53
6,genre,AE,0.05203644186258316,53.35085666703852,3.306579117872413,0.02429493508374513,0.06269936044571471,0.516,0.015260948799550533,42.39108335889252,3.9666599297287974,0.02596284196215514,0.06610399841441454,0.524
6,genre,Beta-VAE (Beta=2),0.08392167836427689,126.51647057956833,2.181411131943428,0.02678825787935062,0.04084697020093037,0.523,0.07836680859327316,109.0992683214284,2.2175701648350983,0.026304848717249977,0.03139278609379974,0.513
6,genre,Beta-VAE (Beta=4),0.14312627911567688,206.1579465516125,1.6172254600236313,-0.00013939011620667978,0.016113994972227794,0.482,0.0992443710565567,175.19675666096063,1.8996275283690478,0.006998728705843542,0.030148875543655376,0.51
