epoch,loss
1,63.79043459892273
2,63.43597960472107
3,63.176504373550415
4,63.014035820961
5,63.177151799201965
6,63.2857221364975
7,63.02931249141693
8,63.40634351968765
9,62.6575345993042
10,62.569244384765625
11,62.42995625734329
12,62.92855215072632
13,61.84400302171707
14,62.35507184267044
15,62.03412836790085
16,62.69621002674103
17,62.113677620887756
18,62.38102889060974
19,62.3597806096077
20,61.96499925851822
21,61.72466063499451
22,62.21823161840439
23,61.98036253452301
24,62.385564625263214
25,62.03902471065521
26,62.6087406873703
27,62.18252021074295
28,62.29912978410721
29,61.538608610630035
30,61.3511238694191
31,62.24284744262695
32,60.875570833683014
33,61.83449286222458
34,61.319625318050385
35,61.92385083436966
36,61.358329355716705
37,62.386832892894745
38,61.652093946933746
39,61.5301798582077
40,61.138243675231934
41,61.25883603096008
42,60.72694009542465
43,61.34316790103912
44,61.67051428556442
45,61.62918895483017
46,61.79212659597397
47,61.399440228939056
48,60.62448334693909
49,61.61547887325287
50,61.03990316390991
