epoch,loss
1,63.80107092857361
2,63.043937504291534
3,62.92875564098358
4,61.14328920841217
5,60.3748961687088
6,60.08630067110062
7,59.64922446012497
8,59.40586656332016
9,58.32376432418823
10,58.354784190654755
11,57.805978655815125
12,58.378136336803436
13,57.95925849676132
14,57.314482271671295
15,57.32173037528992
16,57.05847704410553
17,57.3181414604187
18,56.540225088596344
19,56.43363732099533
20,56.5970144867897
21,55.879415571689606
22,55.942346692085266
23,55.81365966796875
24,55.88149285316467
25,56.582448184490204
26,56.02713739871979
27,56.27586096525192
28,56.35310107469559
29,55.78873145580292
30,56.07530730962753
31,55.99648481607437
32,55.655617475509644
33,55.935580372810364
34,56.29388290643692
35,55.58428621292114
36,56.11779302358627
37,55.60942083597183
38,55.484165489673615
39,55.157926857471466
40,55.5829992890358
41,55.41670560836792
42,55.303652822971344
43,55.138921558856964
44,55.75742566585541
45,54.927454352378845
46,55.13360893726349
47,55.24439549446106
48,55.27718836069107
49,55.15727233886719
50,55.527188301086426
