k,label_type,method,silhouette,calinski_harabasz,ari
2,language,RAW,0.2880154848098755,358.8493898662396,-0.0006564150268403416
2,language,PCA,0.3250862956047058,454.4096733240703,-0.0006564150268403416
2,language,VAE,0.34901294112205505,510.7334230118292,0.0001960320652380862
6,genre,RAW,0.07659085094928741,136.0605793960703,0.06300937273994849
6,genre,PCA,0.10695075988769531,180.8053278581784,0.0716150246373169
6,genre,VAE,0.28781333565711975,406.15751429703283,0.05996392570930975
