epoch,loss
1,62.82815557718277
2,57.72710162401199
3,55.84425741434097
4,54.41326683759689
5,53.273113787174225
6,52.9293093085289
7,52.28591752052307
8,51.836752474308014
9,51.49675500392914
10,51.23316466808319
11,50.80582231283188
12,50.5946044921875
13,49.92572075128555
14,49.55916368961334
15,49.57592123746872
16,49.35936313867569
17,48.938989877700806
18,48.603165566921234
19,48.615248799324036
20,48.4184228181839
21,48.64781939983368
22,48.74464809894562
23,48.8279874920845
24,48.492706656455994
25,48.75716918706894
26,47.73485970497131
27,47.89678883552551
28,48.075592160224915
29,48.457163870334625
30,47.56827753782272
31,48.04566013813019
32,47.68582558631897
33,47.369323670864105
34,47.73266088962555
35,48.37305790185928
36,47.30145460367203
37,47.8528972864151
38,47.52548760175705
39,47.48701465129852
40,46.99755650758743
41,47.27454286813736
42,47.285685300827026
43,46.808291494846344
44,47.297245502471924
45,47.43359971046448
46,47.25834369659424
47,47.19960314035416
48,47.15213358402252
49,47.264077961444855
50,46.928075075149536
